Województwo i rok;Produkt_Krajowy_Brutto_na_mieszkañca_(z³);Stopa_bezrobocia_rejestrowanego_(%);Przeciêtne_miesiêczne_wynagrodzenie_brutto_(czwarty_kwarta³)_(z³);Liczba_ludnoœci_w_wieku_produkcyjnym_na_1000_ludnoœci;Liczba_ludnoœci_w_wieku_przedprodukcyjnym_na_1000_ludnoœci;Liczba_ludnoœci_w_wieku_poprodukcyjnym_na_1000_ludnoœci;Gêstoœæ_zaludnienia_(osoba/km^2);Przyrost_naturalny_na_1000_ludnoœci;Liczba_urodzeñ_na_1000_ludnoœci;Przeciêtne_trwanie_¿ycia_(lata);Liczba_ma³¿eñstw_na_1000_ludnoœci;Zezwolenia_na_pracê_dla_cudzoziemców_na_1000_ludnoœci;Liczba_studentów_na_10000_ludnoœci;Mieszkania_oddane_do_u¿ytkowania_na_1000_ludnoœci;Saldo_migracji_wewnêtrznych
Ma³opolskie_2016;43897;6,6;4212,93;620,05;188,99;190,96;222,8;1,66;10,76;79;5,3;4,48;500;5,1;3376
Ma³opolskie_2017;47250;5,3;4590,72;615,08;189,44;195,48;223,4;1,86;11,27;79;5,4;6,53;465;5,9;3760
Ma³opolskie_2018;50735;4,7;4901,28;610,25;189,73;200,02;224;1,59;11,15;79;5,4;8,1;442;5,4;4842
Ma³opolskie_2019;54546;4,1;5472,65;605,65;190,28;204,08;224,7;1,16;10,85;79;5,3;10,96;426;6,4;5914
Ma³opolskie_2020;55448;5,3;5843,94;602,88;192,5;204,62;226,1;-1;10,29;78;4,2;11,47;427;5,8;3412
Ma³opolskie_2021;62842;5;6363,59;599,76;193,33;206,91;225,9;-2,17;9,7;77;4,9;9,43;429;6,4;4112
Ma³opolskie_2022;72004;4,4;7201,34;596,6;193,17;210,24;225,8;-1,42;9,06;79;4,5;6,09;431;7;3553
Ma³opolskie_2023;80434;4,2;8051,24;594,07;191,86;214,07;225,9;-1,3;8,26;80;4,3;9,62;443;6,3;3800
Ma³opolskie_2024;87269;4,1;9049,07;592,18;189,93;217,89;225,8;-1,82;7,75;80;4;11,3;457;5,9;4043
Mazowieckie_2010;59666;9,7;4484,24;635,46;187,46;177,08;148,1;1,4;11,56;77;5,8;3,66;614;5,5;12687
Mazowieckie_2011;64473;9,8;4708,9;632,55;186,27;181,18;148,6;0,79;10,86;77;5,2;4,32;581;4,8;13700
Mazowieckie_2012;67388;10,7;4768,43;628,83;185,55;185,62;149,1;0,53;10,82;77;5,1;4,25;589;5,8;12802
Mazowieckie_2013;69026;11,1;4939,61;624,42;185,09;190,49;149,5;0,21;10,44;78;4,5;4,05;554;5,5;13457
Mazowieckie_2014;71659;9,6;5047,5;619,5;185,21;195,29;150;0,68;10,73;78;4,7;4,56;530;5,8;13141
Mazowieckie_2015;74682;8,3;5231,3;613,69;185,9;200,41;150,4;0,45;10,76;78;4,8;6,08;515;5,5;12385
Mazowieckie_2016;76992;7;5403,01;607,28;187,19;205,53;150,9;0,88;11,12;78;5;8,97;503;6,7;11167
Mazowieckie_2017;83123;5,6;5800,4;600,9;188,97;210,13;151,4;0,86;11,51;78;5,1;13,98;481;6,9;12029
Mazowieckie_2018;88626;4,9;6131,29;595,22;190,48;214,3;152;0,33;11,22;78;5;14,74;457;7,6;14686
Mazowieckie_2019;96725;4,4;6392,72;589,78;192,06;218,16;152,5;0,35;11,01;78;4,9;15,92;452;8;15777
Mazowieckie_2020;98747;5,2;6679,59;592,26;192,57;215,16;155,2;-1,96;10,27;77;3,8;12,37;453;8,4;10448
Mazowieckie_2021;109612;4,7;7378;589,69;193,98;216,32;155;-3,54;9,78;76;4,5;16,5;462;8,1;10834
Mazowieckie_2022;126381;4,3;8168,95;587,18;194,13;218,69;155;-2,24;9,12;78;4,3;12,12;481;7,8;9368
Mazowieckie_2023;142761;4;9120,61;585,64;192,94;221,42;155;-2,35;8,15;79;4,1;15,34;514;7,9;10217
Mazowieckie_2024;195100;4;10119,51;585,52;190,69;223,8;154,9;-2,78;7,66;79;3,8;14,44;516;7;10289
Opolskie_2010;30818;13,6;3262,76;655,63;171,3;173,06;108,1;-0,71;9;77;5,6;0,64;392;2,1;-671
Opolskie_2011;33237;13,3;3451,62;654,24;167,96;177,79;107,7;-1,02;8,55;77;5,1;0,88;375;1,7;-664
Opolskie_2012;34152;14,4;3453,85;651,31;165,55;183,14;107,3;-1,23;8,83;77;5,3;0,77;343;1,8;-437
Opolskie_2013;34640;14,2;3622,82;647,3;163,41;189,29;106,7;-2,03;8,17;77;4,7;0,8;308;1,7;-892
Opolskie_2014;36299;11,8;3736,76;642,73;161,57;195,71;106,3;-1,21;8,57;78;4,8;0,81;278;1,9;-691
Opolskie_2015;37816;10,1;3958,35;638,1;160,03;201,87;105,8;-2,18;8,3;78;4,9;1,22;253;1,7;-810
Opolskie_2016;38625;9;4132,05;632,23;159,26;208,52;105,5;-1,38;8,68;78;4,9;2,81;230;1,8;-726
Opolskie_2017;41199;7,3;4378,26;626,24;159,41;214,35;105,2;-1,81;9,16;78;4,8;5,86;222;2;-745
Opolskie_2018;43712;6,3;4639,48;620,17;159,34;220,49;104,8;-2,14;8,7;78;4,8;9,72;216;2,4;-691
Opolskie_2019;47036;5,8;4943,94;613,27;159,7;227,03;104,4;-2,24;8,63;78;4,3;11,78;216;2,8;-1007
Opolskie_2020;47723;6,9;5350,93;604,36;165,46;230,18;101,6;-4,96;8,28;77;3,5;11,88;223;2,7;-747
Opolskie_2021;56267;6,4;5886,99;599,1;166,31;234,59;100,8;-6,2;7,65;76;4,1;9,2;222;3,6;-764
Opolskie_2022;64383;5,9;6631,73;594,27;166,3;239,44;100,1;-5,24;7,18;78;3,7;5,9;229;3,5;-732
Opolskie_2023;72671;5,9;7454,15;589,8;165,06;245,13;99,5;-4,73;6,57;79;3,4;4,88;223;3,4;-954
Opolskie_2024;78488;5,9;8327,89;586,36;162,93;250,71;98,8;-5,73;5,8;79;3,2;8,22;233;2,9;-783
